hackathon_id,name,start_date,end_date,details,registration_date,created_at
1,TechOlympiad 2,2025-06-27,2025-07-02,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-06-20,2025-06-15
2,HackWave 1,2025-02-10,2025-02-15,Compete in algorithmic problem-solving and system design challenges.,2025-01-29,2025-01-26
3,NextGenHack 34,2025-10-07,2025-10-10,A national-level hackathon focusing on web and AI innovation.,2025-09-25,2025-09-24
4,AI Innovators 43,2025-01-09,2025-01-12,Collaborate with developers and showcase your creative coding skills.,2024-12-28,2024-12-27
5,CodeSprint 2,2025-06-26,2025-06-30,Collaborate with developers and showcase your creative coding skills.,2025-06-13,2025-06-08
6,CodeVerse 7,2025-12-29,2026-01-01,Build sustainable tech solutions for a better future.,2025-12-21,2025-12-19
7,HackHub 11,2025-02-17,2025-02-19,Collaborate with developers and showcase your creative coding skills.,2025-02-08,2025-02-03
8,AI Innovators 1,2025-11-12,2025-11-17,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-10-29,2025-10-24
9,HackZone 32,2025-01-28,2025-01-30,A national-level hackathon focusing on web and AI innovation.,2025-01-15,2025-01-12
10,FutureCoders 40,2025-03-28,2025-03-30,A national-level hackathon focusing on web and AI innovation.,2025-03-18,2025-03-17
11,TechTrek 47,2025-10-07,2025-10-12,Collaborate with developers and showcase your creative coding skills.,2025-10-02,2025-09-28
12,NextGenHack 30,2025-03-05,2025-03-07,Collaborate with developers and showcase your creative coding skills.,2025-02-24,2025-02-19
13,DataStorm 14,2025-12-31,2026-01-04,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-12-26,2025-12-25
14,CodeMania 26,2025-03-25,2025-03-29,Build sustainable tech solutions for a better future.,2025-03-11,2025-03-07
15,AlgoRush 2,2025-03-05,2025-03-09,A national-level hackathon focusing on web and AI innovation.,2025-02-27,2025-02-26
16,AlgoRush 49,2025-07-27,2025-07-30,Build sustainable tech solutions for a better future.,2025-07-18,2025-07-17
17,DataStorm 42,2025-05-28,2025-05-30,Collaborate with developers and showcase your creative coding skills.,2025-05-20,2025-05-15
18,CodeSprint 1,2025-12-28,2025-12-31,Compete in algorithmic problem-solving and system design challenges.,2025-12-17,2025-12-13
19,FutureCoders 2,2025-05-25,2025-05-27,Compete in algorithmic problem-solving and system design challenges.,2025-05-16,2025-05-15
20,CodeVerse 25,2025-03-21,2025-03-24,A national-level hackathon focusing on web and AI innovation.,2025-03-09,2025-03-04
21,CodeSprint 20,2025-12-15,2025-12-18,Compete in algorithmic problem-solving and system design challenges.,2025-12-08,2025-12-05
22,DevFusion 39,2025-09-23,2025-09-25,A national-level hackathon focusing on web and AI innovation.,2025-09-08,2025-09-07
23,HackZone 37,2025-02-23,2025-02-27,A national-level hackathon focusing on web and AI innovation.,2025-02-09,2025-02-08
24,AI Innovators 14,2025-11-12,2025-11-14,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-11-06,2025-11-05
25,DataStorm 37,2025-09-03,2025-09-05,A national-level hackathon focusing on web and AI innovation.,2025-08-26,2025-08-22
26,DataStorm 7,2025-05-25,2025-05-28,Collaborate with developers and showcase your creative coding skills.,2025-05-11,2025-05-10
27,HackWave 22,2025-05-02,2025-05-07,Compete in algorithmic problem-solving and system design challenges.,2025-04-19,2025-04-15
28,DataStorm 24,2025-12-24,2025-12-26,Build sustainable tech solutions for a better future.,2025-12-15,2025-12-10
29,CodeVerse 5,2025-06-28,2025-07-01,A national-level hackathon focusing on web and AI innovation.,2025-06-15,2025-06-12
30,TechOlympiad 13,2025-05-03,2025-05-06,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-04-20,2025-04-18
31,AlgoRush 3,2025-12-27,2025-12-31,"Explore cutting-edge topics like cybersecurity, IoT, and AI.",2025-12-21,2025-12-17
32,NextGenHack 7,2025-12-23,2025-12-25,Build sustainable tech solutions for a better future.,2025-12-12,2025-12-10
33,CodeVerse 20,2025-08-25,2025-08-27,Build sustainable tech solutions for a better future.,2025-08-11,2025-08-08
34,CloudHack 15,2025-07-27,2025-08-01,Compete in algorithmic problem-solving and system design challenges.,2025-07-15,2025-07-11
