roadmap_id,title,description,created_at,created_by
1,Network Engineer Path,This roadmap guides learners through the Network skills and tools required for mastery.,2023-07-12 16:09:55,61
2,IoT Beginner Track,This roadmap guides learners through the IoT skills and tools required for mastery.,2024-09-16 09:45:32,56
3,Deep Learning Specialization,This roadmap guides learners through the Deep Learning skills and tools required for mastery.,2025-08-17 00:38:00,87
4,DevOps Engineer Path,This roadmap guides learners through the DevOps skills and tools required for mastery.,2025-03-29 04:52:54,88
5,Python Developer Roadmap,This roadmap guides learners through the Python skills and tools required for mastery.,2024-02-13 10:53:27,83
6,Cybersecurity Foundations,This roadmap guides learners through the Cybersecurity skills and tools required for mastery.,2024-10-08 18:03:51,5
7,Game Developer Journey,This roadmap guides learners through the Game Development skills and tools required for mastery.,2023-09-22 07:36:20,7
8,AR/VR Developer Roadmap,This roadmap guides learners through the AR/VR skills and tools required for mastery.,2023-11-03 07:18:26,69
9,Extended Reality (XR) Developer Path,This roadmap guides learners through the XR skills and tools required for mastery.,2025-10-06 13:11:42,1
10,Data Science Journey,This roadmap guides learners through the Data Science skills and tools required for mastery.,2025-03-02 04:27:58,86
11,Blockchain Developer Roadmap,This roadmap guides learners through the Blockchain skills and tools required for mastery.,2024-05-19 03:13:14,27
12,Neural Networks Specialization,This roadmap guides learners through the Neural Networks skills and tools required for mastery.,2025-02-08 04:53:15,91
13,Web Developer Blueprint,This roadmap guides learners through the Web Development skills and tools required for mastery.,2023-03-17 05:10:34,3
14,Internet of Things Foundation,This roadmap guides learners through the IoT Foundation skills and tools required for mastery.,2024-03-11 13:37:13,51
15,Database Administrator Roadmap,This roadmap guides learners through the Database Administration skills and tools required for mastery.,2025-10-09 17:01:27,45
16,Smart Contract Developer Path,This roadmap guides learners through the Smart Contract skills and tools required for mastery.,2025-03-18 09:19:55,36
17,Site Reliability Engineer Path,This roadmap guides learners through the SRE skills and tools required for mastery.,2024-05-09 12:49:10,29
18,Data Engineer Track,This roadmap guides learners through the Data Engineering skills and tools required for mastery.,2025-05-02 21:56:14,27
19,Big Data Engineer Track,This roadmap guides learners through the Big Data skills and tools required for mastery.,2025-10-15 13:22:24,92
20,DeFi Developer Roadmap,This roadmap guides learners through the DeFi skills and tools required for mastery.,2025-09-04 07:30:21,85
21,Python Full Stack Developer,This roadmap guides learners through the Python Full Stack skills and tools required for mastery.,2023-06-16 04:45:51,23
22,Kubernetes Engineer Path,This roadmap guides learners through the Kubernetes skills and tools required for mastery.,2025-07-24 09:05:25,13
23,Penetration Testing Foundations,This roadmap guides learners through the Penetration Testing skills and tools required for mastery.,2023-03-10 14:41:06,77
24,Embedded Systems Roadmap,This roadmap guides learners through the Embedded Systems skills and tools required for mastery.,2023-04-20 23:31:34,49
25,AI Engineer Path,This roadmap guides learners through the AI Engineering skills and tools required for mastery.,2024-08-03 07:08:57,94
26,Machine Learning Engineer Path,This roadmap guides learners through the ML Engineering skills and tools required for mastery.,2024-03-09 16:48:38,4
27,Cloud Engineer Essentials,This roadmap guides learners through the Cloud Engineering skills and tools required for mastery.,2024-09-27 13:18:28,65
28,SQL Database Administrator Path,This roadmap guides learners through the SQL DBA skills and tools required for mastery.,2025-04-10 06:51:53,60
29,Unity Game Developer Journey,This roadmap guides learners through the Unity Development skills and tools required for mastery.,2024-03-29 23:31:04,96
30,Backend Developer Roadmap,This roadmap guides learners through the Backend Development skills and tools required for mastery.,2024-01-10 08:21:52,76
